Sentence,Sentiment,Class
"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",positive,1
"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",negative,0
The full-function PC weighs 1.25 kilograms and measures slightly more than two centimeters thin .,neutral,2
Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .,negative,0
"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",neutral,2
"Operating profit of operations in Finland in the period under review totaled EUR 11.3 mn , remaining at the 2005 level .",neutral,2
"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",negative,0
"Marathon now has a 4.6 percent stake in PLX , it said , according to Bloomberg .",neutral,2
"2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year .",positive,1
"You need to be ready when the window opens up , Rosberg said .",neutral,2
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,neutral,2
Investment management and investment advisory services are the company 's sole line of business .,neutral,2
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,positive,1
"Operating profit surged to EUR21m from EUR106 ,000 .",positive,1
"mn , and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 .",positive,1
"The orders are for 26 machine-room-less KONE MonoSpace elevators , which would be installed during 2006 .",neutral,2
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,positive,1
The new B shares carry the right to dividend and other shareholder rights with effect from today .,neutral,2
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,positive,1
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,positive,1
"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn .",negative,0
Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .,neutral,2
"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .",neutral,2
An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .,neutral,2
The company 's share is listed in the Mid Cap segment of the NASDAQ OMX Helsinki .,neutral,2
"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",negative,0
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",negative,0
"Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V reported on Thursday 30 October an operating profit of EUR7 .4 m for January-September 2008 , up from EUR6 .1 m in the corresponding period in 2007 .",positive,1
Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,neutral,2
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,0
Investments in product development stood at 6.0 mln euro ( $ 8.8 mln ) .,neutral,2
"Besides , as there is no depositor preference in Finland , senior debt and deposits rank on a par , which is also taken into consideration , the agency added .",neutral,2
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,negative,0
"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",positive,1
The issuer is solely responsible for the content of this announcement .,neutral,2
The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .,neutral,2
"In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009 .",positive,1
"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .",positive,1
"`` We have a license agreement with Nokia Corp. which in part expires on April 9 , 2007 .",neutral,2
"The market value of one crane is some USD6m , reported the Finnish news agency STT .",neutral,2
Okmetic revised its 2010 financial outlook based on its order book .,neutral,2
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,2
"Before FKI , John Jiang has worked in several general manager or senior business consultant positions for international companies in China .",neutral,2
"The total donation amount is EUR 1,115,000 .",neutral,2
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,1
The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations .,neutral,2
The phones are targeted at first time users in growth markets .,neutral,2
"As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland .",neutral,2
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .,neutral,2
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",negative,0
Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .,neutral,2
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,neutral,2
The credit covers approximately 70 % of the ship 's price .,neutral,2
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,2
Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 .,positive,1
This release is not an offer of securities for sale into the United States or elsewhere .,neutral,2
The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .,positive,1
"The platform is based built on Intel s second-generation MID platform , called Moorestown .",neutral,2
"The sellers include 40 shareholders , including Intellibis management , employees and other investors .",neutral,2
"The company said that 80 % of the shares of the holding company will be sold to Meadville Holdings Limited , a Hong Kong listed parent company of the Meadville Group .",neutral,2
Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 .,neutral,2
"The contract covers the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna , in northern Sweden .",neutral,2
We offer our customers solutions based on renewable raw materials .,neutral,2
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .,neutral,2
Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .,neutral,2
Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan .,neutral,2
Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares .,neutral,2
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products , and operates in Finland .",neutral,2
"The composite body is coated with a hard coating layer produced by thermal spraying , and the coating is ground . ''",neutral,2
"The building will house , for example , Respecta Oy 's Jyvaskyla premises , as well as other companies to be announced later , says Samuel Koivisto , Director of Technopolis operations in Jyvaskyla .",neutral,2
"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .",negative,0
The expanded company will continue to be called NewPage .,neutral,2
Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .,negative,0
"The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught .",neutral,2
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,negative,0
"H+Ñkan Dahlstr+Âm , head of mobility services at TeliaSonera , has forecast that mobile data volume on the TeliaSonera network in Sweden will rise eight-fold to 200,000 TB by 2014 .",positive,1
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,1
"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",neutral,2
"The contract value amounts to about EUR11m , the company added .",neutral,2
"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",neutral,2
"Finnish IT consultancy Satama Interactive Oyj posted a net profit of 1.4 mln euro $ 2.0 mln for the first nine months of 2007 , compared to a net loss of 462,000 euro $ 664,000 for the same period of 2006 .",positive,1
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",positive,1
Closing of such transaction took place today .,neutral,2
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .",neutral,2
"Igor and Oleg Yankov , who currently manage Moron and Vitim , will hold onto the 25 % stake for now .",neutral,2
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,positive,1
Kirsi Rantanen was previously development director for HK Ruokatalo 's poultry business .,neutral,2
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",neutral,2
"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur .",negative,0
"Full-year net sales are expected to increase by approximately 10 % , the company said .",positive,1
Boomerang Boats had net sales of EUR 4.1 mn and it made an operating profit of EUR 0.4 mn in 2006 .,neutral,2
"The price of the 10,000 kroon par value bonds was 9663,51 kroons in the primary issue .",neutral,2
They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum .,neutral,2
"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .",neutral,2
"The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis .",neutral,2
"Currently , the company uses eight similar reach stackers and four empty container handlers by Konecranes .",neutral,2
The products have a low salt and fat content .,neutral,2
"EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications .",neutral,2
The per-share subscription price of the shares subscribed with the option rights was EUR 1.35 .,neutral,2
The total project duration is three years and it is valued at some EUR11 .5 m.,neutral,2
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,1
"In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp .",neutral,2
"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October .",neutral,2
The studies are expected to start in 2008 .,neutral,2
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,2
Uponor improved its performance in spite of the decrease in residential construction in the US .,positive,1
R&D Loan ) .,neutral,2
"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today .",neutral,2
CS Cabot 's main consumers on the Czech and Slovak market are tires producers Barum Continental and Matador Continental .,neutral,2
Delivery is due in the second half of 2011 .,neutral,2
"Tieto in Latvia is represented by IT services companies TietoEnator Alise and TietoEnator , which has operations in the industries of Financial Services Cards , Retail and Logistics and IT Outsourcing and Managed Services .",neutral,2
Vacon recently announced plans to build its North American headquarters at 5 Business Park in Chambersburg .,neutral,2
"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .",negative,0
"The money will be spread mainly over 2011 and 2012 , the company said .",neutral,2
Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .,positive,1
"When the product is manufactured in Finland , it is also packed in the country .",neutral,2
The firm builds components for mobile phones and other communications products .,neutral,2
"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of Moscow Station .",neutral,2
"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .",positive,1
"Altogether CapMan employs approximately 150 people in Helsinki , Stockholm , Copenhagen , Oslo , Moscow and Luxembourg .",neutral,2
Our standardised services have met with a positive reception among our customers as well as at Itella .,positive,1
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes .",negative,0
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .,neutral,2
"Neste Oil will publish its third quarter 2008 results on Friday , 24 October 2008 at approximately 9 am ( EET ) .",neutral,2
The company will be part of Teleste 's Video and Broadband Solutions business area .,neutral,2
The energy shot is packed in a 100-millilitre bag with a screw cap .,neutral,2
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",positive,1
"In July-September 2008 , YIT 's net sales increased to EUR 970.8 mn , compared to EUR 906.8 mn in the corresponding period in 2007 .",positive,1
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",positive,1
Net sales revenue per passenger is expected to increase .,positive,1
"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",negative,0
"In this way , the industry 's starting point has been the consumers ' needs .",neutral,2
The webcast may be followed online on the company website at www.ruukki.com/investors .,neutral,2
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .,positive,1
Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 .,negative,0
The transaction value is CAD 15 million approximately EUR 10 million .,neutral,2
"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .",neutral,2
"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",positive,1
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",negative,0
"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full .",neutral,2
"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 .",negative,0
VNH generates annual net sales of about 5 mln eur and employs 21 people .,neutral,2
"The company designs , manufactures and markets advanced composite products for industrial applications and consumer goods such as cross-country , alpine and Nordic Walking poles , floorball sticks and antenna radomes .",neutral,2
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,positive,1
The order was worth EUR 8mn .,neutral,2
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,negative,0
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,negative,0
"The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden .",neutral,2
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,2
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",neutral,2
"Aldata Solution , a global company engaged in supplier to consumer business process optimization , has announced the details of its Dollars for Dinosaurs program .",neutral,2
The number of customers is one of the most important parameters in determining the price of electricity networks .,neutral,2
The measures taken will cause one-time costs during the final part of 2006 .,neutral,2
Finnish food industry company L+ñnnen Tehtaat is planning changes to its fish product business .,neutral,2
UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .,neutral,2
The new location is n't the only change Wellmont has in store for its air transport service .,neutral,2
He will report to CapMan Plc 's CEO Heikki Westerlund .,neutral,2
No changes regarding the Virala Oy Ab s ownership of shares of Tiimari has taken place .,neutral,2
"Country : , Switzerland Sector : Pharmaceuticals Target : Synosia Therapeutics Holding AG Buyer : Biotie Therapies Corp Deal size in USD : 129.4 m Type : Corporate acquisition Financing : All-stock Status : Closed",neutral,2
HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. .,positive,1
The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,neutral,2
"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",negative,0
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,positive,1
"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .",positive,1
"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 .",neutral,2
The order also includes start-up and commissioning services .,neutral,2
"For 24-hour news , try ICIS news www.icis.com Click `` trial '' , then ICIS news",neutral,2
"This action follows personnel negotiations concerning Elcoteq SE , Finnish Branch , Elcoteq Finland Oy and Elcoteq Design Center Oy .",neutral,2
"The mill will have capacity to produce 500,000 tonnes of pulp per year .",neutral,2
"Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management .",positive,1
The share of the share capital of both above mentioned shareholders remains below 5 % .,neutral,2
Symphony Services provides development services for Aldata GOLD .,neutral,2
"Foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries .",neutral,2
"As a result , the company currently anticipates net sales to increase and the operating result to be positive .",positive,1
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",positive,1
The parties have therefore agreed to leave Avena out of the deal .,neutral,2
A 2001 agreement expired earlier this month .,neutral,2
"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today .",negative,0
"rosendal at outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , +358 400 817198 e-mail eila .",neutral,2
The value of the order is nearly EUR400m .,neutral,2
A huge issue for us is the button placement .,neutral,2
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,1
"Under the deal , Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock .",neutral,2
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,neutral,2
The sales price was not disclosed .,neutral,2
The arrangements do not apply to the group 's units outside Finland .,neutral,2
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",negative,0
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,neutral,2
Net investment income,neutral,2
"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 .",neutral,2
No financial information was provided .,neutral,2
"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",neutral,2
"The Filter Tips cover the volume range from 0.1-1200 -Ál including new sizes for 10 , 20 , 100-120 , 200 , 300 , 1000 and 1200 -Ál volume capacities .",neutral,2
In 2007 Etteplan reported a turnover of EUR125 .2 m.,neutral,2
Scanfil plc is a global contract manufacturer and systems supplier for communication and industrial electronics .,neutral,2
"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 .",neutral,2
"In addition , the Kazakh delegation will visit Finland 's SITRA investment fund , Honkarakenne Ltd and Nokia headquarters to study TeliaSonera Ltd JSC 's activities .",neutral,2
"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",neutral,2
Any investment or investment activity to which this communication relates is only available to relevant persons and will be engaged in only with relevant persons .,neutral,2
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .,negative,0
"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .",negative,0
The company did not disclose the price of the acquisition .,neutral,2
Olvi expects sales and market share to increase in the first quarter of 2010 .,positive,1
Bertrand Sciard has been the vice chairman of the board of directors of Aldata Solution since April 2007 .,neutral,2
Completion of the transaction is subject to a final agreement and a Due Diligence process .,neutral,2
"The market making in accordance with the agreement will begin on September 24 , 2009 .",neutral,2
"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .",neutral,2
Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,positive,1
"The Committee proposes the following remuneration : a monthly remuneration of EUR 5,000 for the Chairman , EUR 3,500 for the Deputy Chairman , and EUR 2,500 for the other Board members .",neutral,2
Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005 .,positive,1
"To see more of New Haven Register , or to subscribe to the newspaper .",neutral,2
"Upon establishment , the plan is directed to approximately 20 persons .",neutral,2
The appointments will be in force until the new CEO has been appointed .,neutral,2
"The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing .",neutral,2
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive,1
The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .,neutral,2
"`` I 'm trying to deal with slavery from a different perspective to balance the story , '' says DeRamus , formerly a writer at the Detroit Free Press and the Detroit News .",neutral,2
"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",neutral,2
"She will succeed Krister Kylas , who has decided to leave TeliaSonera .",neutral,2
"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .",neutral,2
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,1
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",negative,0
"Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix .",neutral,2
Customers include hotels and restaurants as well as wholesalers and some retailers .,neutral,2
Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,neutral,2
Autotank Group is part of Aspo 's Systems Division .,neutral,2
The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .,neutral,2
The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .,neutral,2
"According to latest information , Benefon will launch its Twig device on 20 September 2006 .",neutral,2
`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . '',positive,1
Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market .,neutral,2
"`` Over the years , the color orange has become synonymous with quality .",neutral,2
The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .,negative,0
Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',neutral,2
"In total , more than 3000 surveillance cameras will be handled and managed according to a variety of needs , the company said .",neutral,2
"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 .",negative,0
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .",positive,1
"Tiimari 's registered share capital is 16,474,755 shares as per today .",neutral,2
"The record date for dividend distribution is March 14 , 2008 .",neutral,2
"Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company .",neutral,2
Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .,positive,1
"The platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen , and means are provided to exert and maintain a pressure in the volume defined by the platen , the band and the seal . ''",neutral,2
"In Finland , the five largest brands control 90 % of the beer market .",neutral,2
"The guidance has been set at 90 basis points over mid-swaps , the report said .",neutral,2
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,1
"The first phase of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 .",neutral,2
"561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan .",neutral,2
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",negative,0
"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",positive,1
"The tests , conducted at Nokia Siemens ' LTE center of competence in Espoo , Finland , follow the company 's production start of LTE-ready Flexi Multiradio Base Stations for the 800 MHz band in April 2010 , and complement earlier tests with Nokia on the 2100 MHz and 2600 MHz bands .",neutral,2
"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",positive,1
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,1
Catalysts segment includes refinery catalysts and polyolefin catalysts product categories .,neutral,2
( The acquisition sum has not been disclosed . ),neutral,2
"The most significant capital expenditure items were in the global enterprise resource planning ERP project , product development and production machines .",neutral,2
"` Nordea 's definitely too big for Sampo to acquire , ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation .",neutral,2
Productional situation has now improved .,positive,1
"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",positive,1
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,positive,1
- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs .,positive,1
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,neutral,2
"`` After the transaction , Tikkurila has no powder coatings-related operations , '' the company said .",neutral,2
Rubin says he expects Capman to announce 1-2 additional transactions in 2009 .,neutral,2
"Cramo Plc is a service company specialising in construction machinery and equipment rental and rental-related services , as well as rental and sale of modular space .",neutral,2
"Companies evaluated in the report include Aladdin , CA , F-Secure , Kaspersky , Marshal , McAfee , Microsoft , Panda , Proofpoint , Sophos , Symantec , Trend Micro , Tumbleweed , and Websense .",neutral,2
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",negative,0
"`` The number of collection errors fell considerably , and operations speeded up .",positive,1
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,positive,1
"Like all other mechanical pipettors from Biohit , also Proline Plus is CE-IVD marked and comes with a 3-year warranty .",neutral,2
Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis .,neutral,2
M-real 's sales are expected to have increased by 4 % year-on-year to EUR609m in the second quarter of 2010 .,positive,1
Their names have not yet been released .,neutral,2
"Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY .",neutral,2
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,1
